external_id,active,address,activation_date,number_arc,type_arc,district,carpet,lat,long,id,owner,operator
y1,,"Варшавское шоссе, 30с3",2021-10-27 14:07:24,5,Металлическая,ЮАО,Плитка,55.682014,37.621315,1,yandex,ultradop
y2,,"Большая Черёмушкинская улица, 13с4",2021-10-27 12:36:30,1,,ЮЗАО,,55.686834,37.595235,2,yandex,ultradop
y3,,"Остановка НГПТ ""Улица Дмитрия Ульянова""",2021-10-27 12:57:16,1,,ЮЗАО,,55.682486,37.589405,3,yandex,ultradop
y4,,"Электролитный проезд, 3Бс6",2021-10-27 14:40:07,1,Металлическая,ЮАО,Асфальт,55.675658,37.613112,4,yandex,ultradop
y5,,Станция метро Нагорная (вых. 1),2021-10-27 14:54:46,1,Металлическая,ЮАО,Асфальт,55.672948,37.610706,5,yandex,ultradop
y6,,"улица Кржижановского, 5к1",2021-10-14 15:57:45,1,Металлическая,ЮЗАО,Асфальт,55.682637,37.563304,6,yandex,ultradop
y7,,"Ленинградский проспект, 72к1",2021-10-14 17:01:58,1,,САО,,55.805737,37.519432,7,yandex,ultradop
y8,,"Ленинградский проспект, 66",2021-10-14 16:33:01,1,,САО,,55.802882,37.52542,8,yandex,ultradop
y9,,"улица Кржижановского, 5к1",2021-10-14 10:17:19,1,Металлическая,ЮЗАО,Асфальт,55.6826013,37.5633634,9,yandex,ultradop
y10,Деактивирована,"Остановка НГПТ ""ТРЦ Рио""",2021-10-11 13:42:33,1,,ЮЗАО,,55.69094791,37.60063342,10,yandex,ultradop
y11,,"улица Дмитрия Ульянова, 4к1",2021-09-10 15:09:43,1,Металлическая,ЮЗАО,Асфальт,55.69326,37.55818,11,yandex,ultradop
y12,,"проспект 60-летия Октября, 10",2021-09-10 12:59:25,1,Металлическая,ЮЗАО,Асфальт,55.693353,37.574726,12,yandex,ultradop
y13,,Ленинский проспект 54,2021-09-10 13:10:43,1,Алюминиевая,ЮЗАО,,55.697429,37.560208,13,yandex,ultradop
y14,,ленинский проспект,2021-09-10 10:43:39,1,,ЮЗАО,,55.697628,37.562672,14,yandex,ultradop
y15,,"Ленинский проспект, 65к1",2021-09-10 10:46:27,4,Металлическая,ЮЗАО,Асфальт,55.692355,37.553832,15,yandex,ultradop
y16,Деактивирована,"проспект 60-летия Октября, 9",2021-09-10 12:55:39,1,,ЮЗАО,,55.698881,37.578598,16,yandex,ultradop
y17,,"Ломоносовский проспект, 14",2021-09-10 11:37:23,1,Металлическая,ЮЗАО,,55.690692,37.541451,17,yandex,ultradop
y18,,"Окружной проезд, вл2Ас1",2021-10-27 08:41:41,1,Металлическая,ВАО,,55.804456,37.744569,18,yandex,ultradop
y19,Деактивирована,"Большая Черкизовская улица, 125с1",2021-10-27 08:39:56,0,,ВАО,,55.804007,37.741535,19,yandex,ultradop
y20,,"Ленинградское шоссе, 16с9",2021-10-14 19:34:18,1,Металлическая,САО,Асфальт,55.821412,37.499495,20,yandex,ultradop
y21,Деактивирована,"Ленинский проспект, 65к1",2021-09-10 13:48:29,0,,ЮЗАО,,55.69246,37.55383,21,yandex,ultradop
y22,,"Москва, Окружной проезд, 16",2021-10-27 19:13:32,1,,ВАО,,55.7884792,37.7426016,22,yandex,ultradop
y23,,"Новоданиловская набережная, 10",2021-10-27 18:22:15,2,Металлическая,ЮАО,Плитка,55.696051,37.626073,23,yandex,ultradop
y24,,"Нагатинская улица, 4Ас9",2021-10-27 18:24:40,1,Металлическая,ЮАО,Асфальт,55.681092,37.628405,24,yandex,ultradop
y25,Деактивирована,"Каширское шоссе, 9к4",2021-10-27 18:25:39,0,,ЮАО,,55.668678,37.632627,25,yandex,ultradop
y26,,"Севастопольский проспект, 11Е",2021-10-27 18:35:26,1,,ЮЗАО,,55.687315,37.603798,26,yandex,ultradop
y27,,"Нагорная улица, 21к1",2021-10-27 18:28:21,1,Металлическая,ЮЗАО,Асфальт,55.678499,37.603447,27,yandex,ultradop
y28,,"Каширское шоссе, 9к4",2021-10-27 18:27:23,1,Металлическая,ЮАО,,55.66869,37.632724,28,yandex,ultradop
y29,,"Каширское шоссе, 15",,1,Металлическая,ЮАО,,55.666161,37.62985,29,yandex,ultradop
y30,,"Севастопольский проспект, 15к3",2021-10-27 18:36:38,1,Металлическая,ЮЗАО,Асфальт,55.682147,37.598746,30,yandex,ultradop
y31,,"Нагорный проезд, 2Б",2021-10-28 07:12:47,1,Алюминиевая,ЮАО,,55.68983,37.619065,31,yandex,ultradop
y32,,"Нагорный проезд, 2Б",,1,,ЮАО,,55.690081,37.619895,32,yandex,ultradop
y33,,"Варшавское шоссе, 25А",2021-10-28 07:13:46,1,Металлическая,ЮАО,Асфальт,55.693935,37.621634,33,yandex,ultradop
y34,,"Варшавское шоссе, 33с12",2021-10-28 07:14:35,1,Металлическая,ЮАО,Асфальт,55.691221,37.622004,34,yandex,ultradop
y35,Деактивирована,"Варшавское шоссе, 30с3",2021-10-27 19:19:21,0,,ЮАО,,55.682014,37.621315,35,yandex,ultradop
y36,,"Измайловский проспект, 61с2",2021-10-27 19:10:30,1,Металлическая,ВАО,Плитка,55.788359,37.783685,36,yandex,ultradop
y37,Деактивирована,"Выборгская улица, 16с1",2021-10-14 21:14:12,0,,САО,,55.834508,37.494474,37,yandex,ultradop
y38,,"Тимирязевская улица, 1",2021-11-08 09:23:54,1,Металлическая,САО,Асфальт,55.807745,37.570124,38,yandex,ultradop
y39,,"микрорайон Ленинские Горы, 1с64",2021-11-08 09:28:22,1,,ЮЗАО,,55.6941,37.53618,39,yandex,ultradop
y40,,"Ломоносовский проспект, 23",2021-11-08 09:30:58,1,,ЮЗАО,Асфальт,55.6916567,37.5381951,40,yandex,ultradop
y41,,"Профсоюзная улица, 2/22",2021-11-08 09:32:06,1,Алюминиевая,ЮЗАО,,55.6873853,37.5725946,41,yandex,ultradop
y42,,"улица Вавилова, 5к3",2021-10-27 18:40:51,1,,ЮАО,,55.703559,37.591244,42,yandex,ultradop
y43,Деактивирована,"Большая Черкизовская улица, 125с1",2021-10-27 18:48:28,0,,ВАО,,55.804007,37.741535,43,yandex,ultradop
y44,,"9-я Парковая улица, 34",2021-10-27 18:50:58,2,Металлическая,ВАО,Асфальт,55.796022,37.799316,44,yandex,ultradop
y45,Деактивирована,"Сиреневый бульвар, 4с1",2021-10-27 18:43:10,1,,ВАО,,55.801672,37.762381,45,yandex,ultradop
y46,Деактивирована,"Большая Черкизовская улица, вл125",2021-10-27 18:42:03,0,,ВАО,,55.80235,37.743872,46,yandex,ultradop
y47,,Нижняя первомайская,2021-10-27 18:52:48,1,Металлическая,ВАО,Асфальт,55.7912083,37.809518,47,yandex,ultradop
y48,Деактивирована,"Окружной проезд, вл2Ас1",2021-10-27 18:46:27,0,,ВАО,,55.804456,37.744569,48,yandex,ultradop
y49,,"Первомайская улица, 100",2021-10-27 18:54:57,1,Металлическая,ВАО,Асфальт,55.793329,37.811402,49,yandex,ultradop
y50,,"11-я Парковая улица, 29",2021-10-27 18:57:09,2,Металлическая,ВАО,Асфальт,55.797247,37.804448,50,yandex,ultradop
y51,,"11-я Парковая улица, 29",2021-10-27 18:55:57,1,,ВАО,Асфальт,55.79724,37.804461,51,yandex,ultradop
y52,,"Ленинградский проспект, 80к4А",2021-10-14 18:14:57,1,Металлическая,САО,Асфальт,55.809004,37.506538,52,yandex,ultradop
y53,,"Ленинградское шоссе, вл12",2021-10-14 18:41:05,1,Металлическая,САО,,55.818081,37.499467,53,yandex,ultradop
y54,,"улица Обручева, 11",2021-10-22 18:30:21,1,Алюминиевая,ЮЗАО,Плитка,55.659952,37.515709,54,yandex,ultradop
y55,,"улица Намёткина, 14к1",2021-10-22 18:40:41,1,Алюминиевая,ЮЗАО,,55.66163,37.555645,55,yandex,ultradop
y56,,"улица Вавилова, 24",2021-09-14 11:16:33,1,Металлическая,ЮЗАО,Асфальт,55.701463,37.578044,56,yandex,ultradop
y57,,1-я Квесисская улица,2021-10-28 17:46:00,1,Металлическая,САО,,55.793618,37.578842,57,yandex,ultradop
y58,,"Большая Академическая улица, 5с1",2021-11-03 14:55:39,1,,САО,,55.818137,37.522124,58,yandex,ultradop
y59,Деактивирована,ткацкая улица 19,2021-11-03 14:49:20,1,,ВАО,,55.78639,37.727795,59,yandex,ultradop
y60,,"улица Ремизова, 13",2021-10-27 18:29:36,1,Металлическая,ЮЗАО,Асфальт,55.67555,37.602949,60,yandex,ultradop
y61,,"площадь Ганецкого, 1Б",2021-10-14 19:02:58,1,,САО,,55.820422,37.498849,61,yandex,ultradop
y62,,"Ломоносовский проспект, 23",2021-09-16 13:58:52,1,Металлическая,ЮЗАО,Асфальт,55.69098,37.535075,62,yandex,ultradop
y63,Деактивирована,"Ленинградский проспект, 80к17",2021-10-14 17:56:35,1,,САО,,55.807462,37.511702,63,yandex,ultradop
y64,,"Колодезный переулок, 14соор1",2021-10-20 10:35:52,1,Металлическая,ВАО,Асфальт,55.796078,37.699083,64,yandex,ultradop
y65,,"Большая Черкизовская улица, 5к8с1",2021-10-20 14:11:57,1,,ВАО,,55.798828,37.717591,65,yandex,ultradop
y66,,"улица Косыгина, 15",2021-09-16 12:58:48,1,,ЮЗАО,,55.706127,37.563263,66,yandex,ultradop
y67,,большая черёмушкинская улица,2021-09-16 13:08:30,1,Металлическая,ЮЗАО,Асфальт,55.681412,37.588656,67,yandex,ultradop
y68,,"улица Академика Королёва, 2А",2021-09-16 13:38:09,1,Металлическая,СВАО,Асфальт,55.821644,37.629691,68,yandex,ultradop
y69,,"улица Шухова, 14",2021-10-20 20:54:07,1,Металлическая,ЮАО,Асфальт,55.7168797,37.6136218,69,yandex,ultradop
y70,,"проезд Дубовой Рощи, 21",2021-09-16 14:18:00,1,Металлическая,СВАО,,55.817985,37.603017,70,yandex,ultradop
y71,,"улица Академика Королёва, 2А",2021-09-16 13:44:56,1,Металлическая,СВАО,Асфальт,55.821664,37.629902,71,yandex,ultradop
y72,,"проспект Мира, 122к1",2021-10-21 14:54:34,1,,СВАО,,55.812272,37.640151,72,yandex,ultradop
y73,,"проспект Андропова, 18к1",2021-10-28 17:54:35,1,Алюминиевая,ЮАО,Плитка,55.694784,37.663776,73,yandex,ultradop
y74,,"Южнопортовая улица, 22с10",2021-10-28 17:55:40,1,Металлическая,ЮВАО,Асфальт,55.705122,37.688671,74,yandex,ultradop
y75,,Метро Кожуховская,2021-10-28 17:56:54,1,,ЮВАО,,55.706429,37.685553,75,yandex,ultradop
